essere,быть
avere,иметь
sapere,знать/уметь
fare,делать
dare,давать
andare,идти
stare,быть/стать
volere,хотеть
potere,мочь
dovere,должно
parlare,говорить
dire,сказать
discutere,обсуждать
esigere,требовать
offrire,предлагать
avvertire,предупреждать
chiedere,спрашивать
cedere,уступать
rispondere,отвечать
spiegare,объяснять
tacere,молчать
credere,верить
capire,понимать
godere,наслаждаться
parere,казаться
sentire,чувствовать
vedere,видеть
conoscere,быть-знакомым
pensare,думать
ridere,смеяться
guardare,смотреть
piacere,нравиться
nascere,родиться
vivere,жить
morire,умирать
riuscire,удаваться
amare,любить
salutare,приветствовать
imparare,научиться
dolere,болеть
perdere,терять
piangere,плакать
dormire,спать
leggere,читать
scrivere,писать
sedere,сидеть
andare,идти
apparire,появляться
cadere,упасть/падать
correre,бежать
fuggire,убегать
mettere,класть/ставить
partire,уезжать
cercare,искать
porre,класть
salire,подниматься
seguire,следовать
venire,приходить
costruire,строить
crescere,расти
dirigere,руководить
scegliere,выбирать
cucire,шить
servire,служить
entrare,входить
giocare,играть
uscire,выходить
cominciare,начинать
rimanere,оставаться
rompere,ломать
aprire,открывать
chiudere,закрывать
finire,кончать
mangiare,есть
prendere,брать
bere,пить
bollire,кипеть
consumare,потреблять
valere,стоить
vestire,одевать