amare,"amare,amante,amando,amato,avere amato,avendo amato,avente amato","amo,ami,ama,amiamo,amate,amano","amavo,amavi,amava,amavamo,amavate,amavano","amerò,amerai,amerà,ameremo,amerete,ameranno","amai,amasti,amò,amammo,amaste,amarono","ho amato,hai amato,ha amato,abbiamo amato,avete amato,hanno amato","avevo amato,avevi amato,aveva amato,avevamo amato,avevate amato,avevano amato","avrò amato,avrai amato,avrà amato,avremo amato,avrete amato,avranno amato","ebbi amato,avesti amato,ebbe amato,avemmo amato,aveste amato,ebbero amato","ami,ami,ami,amiamo,amiate,amino","abbia amato,abbia amato,abbia amato,abbiamo amato,abbiate amato,abbiano amato","amassi,amassi,amasse,amassimo,amaste,amassero","avessi amato,avessi amato,avesse amato,avessimo amato,aveste amato,avessero amato","amerei,ameresti,amerebbe,ameremmo,amereste,amerebbero","avrei amato,avresti amato,avrebbe amato,avremmo amato,avreste amato,avrebbero amato","ama,ami,amiamo,amate,amino",
credere,"credere,credente,credendo,creduto,avere creduto,avendo creduto,avente creduto","credo,credi,crede,crediamo,credete,credono","credevo,credevi,credeva,credevamo,credevate,credevano","crederò,crederai,crederà,crederemo,crederete,crederanno","credei; credetti,credesti,credé; credette,credemmo,credeste,crederono; credettero","ho creduto,hai creduto,ha creduto,abbiamo creduto,avete creduto,hanno creduto","avevo creduto,avevi creduto,aveva creduto,avevamo creduto,avevate creduto,avevano creduto","avrò creduto,avrai creduto,avrà creduto,avremo creduto,avrete creduto,avranno creduto","ebbi creduto,avesti creduto,ebbe creduto,avemmo creduto,aveste creduto,ebbero creduto","creda,creda,creda,crediamo,crediate,credano","abbia creduto,abbia creduto,abbia creduto,abbiamo creduto,abbiate creduto,abbiano creduto","credessi,credessi,credesse,credessimo,credeste,credessero","avessi creduto,avessi creduto,avesse creduto,avessimo creduto,aveste creduto,avessero creduto","crederei,crederesti,crederebbe,crederemmo,credereste,crederebbero","avrei creduto,avresti creduto,avrebbe creduto,avremmo creduto,avreste creduto,avrebbero creduto","credi,creda,crediamo,credete,credano",
crescere,"crescere,crescente,crescendo,cresciuto,essere cresciuto,essendo cresciuto,essente cresciuto","cresco,cresci,cresce,cresciamo,crescete,crescono","crescevo,crescevi,cresceva,crescevamo,crescevate,crescevano","crescerò,crescerai,crescerà,cresceremo,crescerete,cresceranno","crebbi,crescesti,crebbe,crescemmo,cresceste,crebbero","sono cresciuto,sei cresciuto,è cresciuto,siamo cresciuti,siete cresciuti,sono cresciuti","ero cresciuto,eri cresciuto,era cresciuto,eravamo cresciuti,eravate cresciuti,erano cresciuti","sarò cresciuto,sarai cresciuto,sarà cresciuto,saremo cresciuti,sarete cresciuti,saranno cresciuti","fui cresciuto,fosti cresciuto,fu cresciuto,fummo cresciuti,foste cresciuti,furono cresciuti","cresca,cresca,cresca,cresciamo,cresciate,crescano","sia cresciuto,sia cresciuto,sia cresciuto,siamo cresciuti,siate cresciuti,siano cresciuti","crescessi,crescessi,crescesse,crescessimo,cresceste,crescessero","fossi cresciuto,fossi cresciuto,fosse cresciuto,fossimo cresciuti,foste cresciuti,fossero cresciuti","crescerei,cresceresti,crescerebbe,cresceremmo,crescereste,crescerebbero","sarei cresciuto,saresti cresciuto,sarebbe cresciuto,saremmo cresciuti,sareste cresciuti,sarebbero cresciuti","cresci,cresca,cresciamo,crescete,crescano",
cucire,"cucire,cucente,cucendo,cucito,avere cucito,avendo cucito,avente cucito","cucio,cuci,cuce,cuciamo,cucite,cuciono","cucivo,cucivi,cuciva,cucivamo,cucivate,cucivano","cucirò,cucirai,cucirà,cuciremo,cucirete,cuciranno","cucii,cucisti,cucì,cucimmo,cuciste,cucirono","ho cucito,hai cucito,ha cucito,abbiamo cucito,avete cucito,hanno cucito","avevo cucito,avevi cucito,aveva cucito,avevamo cucito,avevate cucito,avevano cucito","avrò cucito,avrai cucito,avrà cucito,avremo cucito,avrete cucito,avranno cucito","ebbi cucito,avesti cucito,ebbe cucito,avemmo cucito,aveste cucito,ebbero cucito","cucia,cucia,cucia,cuciamo,cuciate,cuciano","abbia cucito,abbia cucito,abbia cucito,abbiamo cucito,abbiate cucito,abbiano cucito","cucissi,cucissi,cucisse,cucissimo,cuciste,cucissero","avessi cucito,avessi cucito,avesse cucito,avessimo cucito,aveste cucito,avessero cucito","cucirei,cuciresti,cucirebbe,cuciremmo,cucireste,cucirebbero","avrei cucito,avresti cucito,avrebbe cucito,avremmo cucito,avreste cucito,avrebbero cucito","cuci,cucia,cuciamo,cucite,cuciano",
dare,"dare,dante,dando,dato,avere dato,avendo dato,avente dato","do,dai,dà,diamo,date,dànno","davo,davi,dava,davamo,davate,davano","darò,darai,darà,daremo,darete,daranno","diedi; detti,desti,diede; dette; dètte,demmo,deste,diedero; dettero","ho dato,hai dato,ha dato,abbiamo dato,avete dato,hanno dato","avevo dato,avevi dato,aveva dato,avevamo dato,avevate dato,avevano dato","avrò dato,avrai dato,avrà dato,avremo dato,avrete dato,avranno dato","ebbi dato,avesti dato,ebbe dato,avemmo dato,aveste dato,ebbero dato","dia,dia,dia,diamo,diate,diano","abbia dato,abbia dato,abbia dato,abbiamo dato,abbiate dato,abbiano dato","dessi,dessi,desse,dessimo,deste,dessero","avessi dato,avessi dato,avesse dato,avessimo dato,aveste dato,avessero dato","darei,daresti,darebbe,daremmo,dareste,darebbero","avrei dato,avresti dato,avrebbe dato,avremmo dato,avreste dato,avrebbero dato","da'; dai,dia,diamo,date,diano",
dire,"dire,dicente,dicendo,detto,avere detto,avendo detto,avente detto","dico,dici,dice,diciamo,dite,dicono","dicevo,dicevi,diceva,dicevamo,dicevate,dicevano","dirò,dirai,dirà,diremo,direte,diranno","dissi,dicesti,disse,dicemmo,diceste,dissero","ho detto,hai detto,ha detto,abbiamo detto,avete detto,hanno detto","avevo detto,avevi detto,aveva detto,avevamo detto,avevate detto,avevano detto","avrò detto,avrai detto,avrà detto,avremo detto,avrete detto,avranno detto","ebbi detto,avesti detto,ebbe detto,avemmo detto,aveste detto,ebbero detto","dica,dica,dica,diciamo,diciate,dicano","abbia detto,abbia detto,abbia detto,abbiamo detto,abbiate detto,abbiano detto","dicessi,dicessi,dicesse,dicessimo,diceste,dicessero","avessi detto,avessi detto,avesse detto,avessimo detto,aveste detto,avessero detto","direi,diresti,direbbe,diremmo,direste,direbbero","avrei detto,avresti detto,avrebbe detto,avremmo detto,avreste detto,avrebbero detto","di',dica,diciamo,dite,dicano",
dirigere,"dirigere,dirigente,dirigendo,diretto,avere diretto,avendo diretto,avente diretto","dirigo,dirigi,dirige,dirigiamo,dirigete,dirigono","dirigevo,dirigevi,dirigeva,dirigevamo,dirigevate,dirigevano","dirigerò,dirigerai,dirigerà,dirigeremo,dirigerete,dirigeranno","diressi,dirigesti,diresse,dirigemmo,dirigeste,diressero","ho diretto,hai diretto,ha diretto,abbiamo diretto,avete diretto,hanno diretto","avevo diretto,avevi diretto,aveva diretto,avevamo diretto,avevate diretto,avevano diretto","avrò diretto,avrai diretto,avrà diretto,avremo diretto,avrete diretto,avranno diretto","ebbi diretto,avesti diretto,ebbe diretto,avemmo diretto,aveste diretto,ebbero diretto","diriga,diriga,diriga,dirigiamo,dirigiate,dirigano","abbia diretto,abbia diretto,abbia diretto,abbiamo diretto,abbiate diretto,abbiano diretto","dirigessi,dirigessi,dirigesse,dirigessimo,dirigeste,dirigessero","avessi diretto,avessi diretto,avesse diretto,avessimo diretto,aveste diretto,avessero diretto","dirigerei,dirigeresti,dirigerebbe,dirigeremmo,dirigereste,dirigerebbero","avrei diretto,avresti diretto,avrebbe diretto,avremmo diretto,avreste diretto,avrebbero diretto","dirigi,diriga,dirigiamo,dirigete,dirigano",
discutere,"discutere,discutente,discutendo,discusso,avere discusso,avendo discusso,avente discusso","discuto,discuti,discute,discutiamo,discutete,discutono","discutevo,discutevi,discuteva,discutevamo,discutevate,discutevano","discuterò,discuterai,discuterà,discuteremo,discuterete,discuteranno","discussi; discutei,discutesti,discusse; discuté,discutemmo,discuteste,discussero; discuterono","ho discusso,hai discusso,ha discusso,abbiamo discusso,avete discusso,hanno discusso","avevo discusso,avevi discusso,aveva discusso,avevamo discusso,avevate discusso,avevano discusso","avrò discusso,avrai discusso,avrà discusso,avremo discusso,avrete discusso,avranno discusso","ebbi discusso,avesti discusso,ebbe discusso,avemmo discusso,aveste discusso,ebbero discusso","discuta,discuta,discuta,discutiamo,discutiate,discutano","abbia discusso,abbia discusso,abbia discusso,abbiamo discusso,abbiate discusso,abbiano discusso","discutessi,discutessi,discutesse,discutessimo,discuteste,discutessero","avessi discusso,avessi discusso,avesse discusso,avessimo discusso,aveste discusso,avessero discusso","discuterei,discuteresti,discuterebbe,discuteremmo,discutereste,discuterebbero","avrei discusso,avresti discusso,avrebbe discusso,avremmo discusso,avreste discusso,avrebbero discusso","discuti,discuta,discutiamo,discutete,discutano",
dolere,"dolere,dolente,dolendo,doluto,avere doluto,avendo doluto,avente doluto","dolgo,duoli,duole,doliamo; dogliamo,dolete,dolgono","dolevo,dolevi,doleva,dolevamo,dolevate,dolevano","dorrò,dorrai,dorrà,dorremo,dorrete,dorranno","dolsi,dolesti,dolse,dolemmo,doleste,dolsero","ho doluto,hai doluto,ha doluto,abbiamo doluto,avete doluto,hanno doluto","avevo doluto,avevi doluto,aveva doluto,avevamo doluto,avevate doluto,avevano doluto","avrò doluto,avrai doluto,avrà doluto,avremo doluto,avrete doluto,avranno doluto","ebbi doluto,avesti doluto,ebbe doluto,avemmo doluto,aveste doluto,ebbero doluto","dolga,dolga,dolga,doliamo; dogliamo,doliate; dogliate,dolgano","abbia doluto,abbia doluto,abbia doluto,abbiamo doluto,abbiate doluto,abbiano doluto","dolessi,dolessi,dolesse,dolessimo,doleste,dolessero","avessi doluto,avessi doluto,avesse doluto,avessimo doluto,aveste doluto,avessero doluto","dorrei,dorresti,dorrebbe,dorremmo,dorreste,dorrebbero","avrei doluto,avresti doluto,avrebbe doluto,avremmo doluto,avreste doluto,avrebbero doluto","duoli,dolga,doliamo; dogliamo,dolete,dolgano",
dormire,"dormire,dormente,dormendo,dormito,avere dormito,avendo dormito,avente dormito","dormo,dormi,dorme,dormiamo,dormite,dormono","dormivo,dormivi,dormiva,dormivamo,dormivate,dormivano","dormirò,dormirai,dormirà,dormiremo,dormirete,dormiranno","dormii,dormisti,dormì,dormimmo,dormiste,dormirono","ho dormito,hai dormito,ha dormito,abbiamo dormito,avete dormito,hanno dormito","avevo dormito,avevi dormito,aveva dormito,avevamo dormito,avevate dormito,avevano dormito","avrò dormito,avrai dormito,avrà dormito,avremo dormito,avrete dormito,avranno dormito","ebbi dormito,avesti dormito,ebbe dormito,avemmo dormito,aveste dormito,ebbero dormito","dorma,dorma,dorma,dormiamo,dormiate,dormano","abbia dormito,abbia dormito,abbia dormito,abbiamo dormito,abbiate dormito,abbiano dormito","dormissi,dormissi,dormisse,dormissimo,dormiste,dormissero","avessi dormito,avessi dormito,avesse dormito,avessimo dormito,aveste dormito,avessero dormito","dormirei,dormiresti,dormirebbe,dormiremmo,dormireste,dormirebbero","avrei dormito,avresti dormito,avrebbe dormito,avremmo dormito,avreste dormito,avrebbero dormito","dormi,dorma,dormiamo,dormite,dormano",
dovere,"dovere,dovente,dovendo,dovuto,avere dovuto,avendo dovuto,avente dovuto","devo; debbo,devi,deve,dobbiamo,dovete,devono; debbono","dovevo,dovevi,doveva,dovevamo,dovevate,dovevano","dovrò,dovrai,dovrà,dovremo,dovrete,dovranno","dovei; dovetti,dovesti,dové; dovette,dovemmo,doveste,doverono; dovettero","ho dovuto,hai dovuto,ha dovuto,abbiamo dovuto,avete dovuto,hanno dovuto","avevo dovuto,avevi dovuto,aveva dovuto,avevamo dovuto,avevate dovuto,avevano dovuto","avrò dovuto,avrai dovuto,avrà dovuto,avremo dovuto,avrete dovuto,avranno dovuto","ebbi dovuto,avesti dovuto,ebbe dovuto,avemmo dovuto,aveste dovuto,ebbero dovuto","debba,debba,debba,dobbiamo,dobbiate,debbano","abbia dovuto,abbia dovuto,abbia dovuto,abbiamo dovuto,abbiate dovuto,abbiano dovuto","dovessi,dovessi,dovesse,dovessimo,doveste,dovessero","avessi dovuto,avessi dovuto,avesse dovuto,avessimo dovuto,aveste dovuto,avessero dovuto","dovrei,dovresti,dovrebbe,dovremmo,dovreste,dovrebbero","avrei dovuto,avresti dovuto,avrebbe dovuto,avremmo dovuto,avreste dovuto,avrebbero dovuto","devi,debba,dobbiamo,dovete,debbano",
entrare,"entrare,entrante,entrando,entrato,essere entrato,essendo entrato,essente entrato","entro,entri,entra,entriamo,entrate,entrano","entravo,entravi,entrava,entravamo,entravate,entravano","entrerò,entrerai,entrerà,entreremo,entrerete,entreranno","entrai,entrasti,entrò,entrammo,entraste,entrarono","sono entrato,sei entrato,è entrato,siamo entrati,siete entrati,sono entrati","ero entrato,eri entrato,era entrato,eravamo entrati,eravate entrati,erano entrati","sarò entrato,sarai entrato,sarà entrato,saremo entrati,sarete entrati,saranno entrati","fui entrato,fosti entrato,fu entrato,fummo entrati,foste entrati,furono entrati","entri,entri,entri,entriamo,entriate,entrino","sia entrato,sia entrato,sia entrato,siamo entrati,siate entrati,siano entrati","entrassi,entrassi,entrasse,entrassimo,entraste,entrassero","fossi entrato,fossi entrato,fosse entrato,fossimo entrati,foste entrati,fossero entrati","entrerei,entreresti,entrerebbe,entreremmo,entrereste,entrerebbero","sarei entrato,saresti entrato,sarebbe entrato,saremmo entrati,sareste entrati,sarebbero entrati","entra,entri,entriamo,entrate,entrino",
esigere,"esigere,esigente,esigendo,esatto,avere esatto,avendo esatto,avente esatto","esigo,esigi,esige,esigiamo,esigete,esigono","esigevo,esigevi,esigeva,esigevamo,esigevate,esigevano","esigerò,esigerai,esigerà,esigeremo,esigerete,esigeranno","esigei; esigetti,esigesti,esigé; esigette,esigemmo,esigeste,esigerono; esigettero","ho esatto,hai esatto,ha esatto,abbiamo esatto,avete esatto,hanno esatto","avevo esatto,avevi esatto,aveva esatto,avevamo esatto,avevate esatto,avevano esatto","avrò esatto,avrai esatto,avrà esatto,avremo esatto,avrete esatto,avranno esatto","ebbi esatto,avesti esatto,ebbe esatto,avemmo esatto,aveste esatto,ebbero esatto","esiga,esiga,esiga,esigiamo,esigiate,esigano","abbia esatto,abbia esatto,abbia esatto,abbiamo esatto,abbiate esatto,abbiano esatto","esigessi,esigessi,esigesse,esigessimo,esigeste,esigessero","avessi esatto,avessi esatto,avesse esatto,avessimo esatto,aveste esatto,avessero esatto","esigerei,esigeresti,esigerebbe,esigeremmo,esigereste,esigerebbero","avrei esatto,avresti esatto,avrebbe esatto,avremmo esatto,avreste esatto,avrebbero esatto","esigi,esiga,esigiamo,esigete,esigano",
essere,"essere,essente,essendo,stato,essere stato,essendo stato,essente stato","sono,sei,è,siamo,siete,sono","ero,eri,era,eravamo,eravate,erano","sarò,sarai,sarà,saremo,sarete,saranno","fui,fosti,fu,fummo,foste,furono","sono stato,sei stato,è stato,siamo stati,siete stati,sono stati","ero stato,eri stato,era stato,eravamo stati,eravate stati,erano stati","sarò stato,sarai stato,sarà stato,saremo stati,sarete stati,saranno stati","fui stato,fosti stato,fu stato,fummo stati,foste stati,furono stati","sia,sia,sia,siamo,siate,siano","sia stato,sia stato,sia stato,siamo stati,siate stati,siano stati","fossi,fossi,fosse,fossimo,foste,fossero","fossi stato,fossi stato,fosse stato,fossimo stati,foste stati,fossero stati","sarei,saresti,sarebbe,saremmo,sareste,sarebbero","sarei stato,saresti stato,sarebbe stato,saremmo stati,sareste stati,sarebbero stati","sii,sia,siamo,siate,siano",
fare,"fare,facente,facendo,fatto,avere fatto,avendo fatto,avente fatto","faccio,fai,fa,facciamo,fate,fanno","facevo,facevi,faceva,facevamo,facevate,facevano","farò,farai,farà,faremo,farete,faranno","feci,facesti,fece,facemmo,faceste,fecero","ho fatto,hai fatto,ha fatto,abbiamo fatto,avete fatto,hanno fatto","avevo fatto,avevi fatto,aveva fatto,avevamo fatto,avevate fatto,avevano fatto","avrò fatto,avrai fatto,avrà fatto,avremo fatto,avrete fatto,avranno fatto","ebbi fatto,avesti fatto,ebbe fatto,avemmo fatto,aveste fatto,ebbero fatto","faccia,faccia,faccia,facciamo,facciate,facciano","abbia fatto,abbia fatto,abbia fatto,abbiamo fatto,abbiate fatto,abbiano fatto","facessi,facessi,facesse,facessimo,faceste,facessero","avessi fatto,avessi fatto,avesse fatto,avessimo fatto,aveste fatto,avessero fatto","farei,faresti,farebbe,faremmo,fareste,farebbero","avrei fatto,avresti fatto,avrebbe fatto,avremmo fatto,avreste fatto,avrebbero fatto","fa'; fai,faccia,facciamo,fate,facciano",
finire,"finire,finente,finendo,finito,avere finito; essere finito,avendo finito; essendo finito,avente finito; essente finito","finisco,finisci,finisce,finiamo,finite,finiscono","finivo,finivi,finiva,finivamo,finivate,finivano","finirò,finirai,finirà,finiremo,finirete,finiranno","finii,finisti,finì,finimmo,finiste,finirono","ho finito; sono finito,hai finito; sei finito,ha finito; è finito,abbiamo finito; siamo finiti,avete finito; siete finiti,hanno finito; sono finiti","avevo finito; ero finito,avevi finito; eri finito,aveva finito; era finito,avevamo finito; eravamo finiti,avevate finito; eravate finiti,avevano finito; erano finiti","avrò finito; sarò finito,avrai finito; sarai finito,avrà finito; sarà finito,avremo finito; saremo finiti,avrete finito; sarete finiti,avranno finito; saranno finiti","ebbi finito; fui finito,avesti finito; fosti finito,ebbe finito; fu finito,avemmo finito; fummo finiti,aveste finito; foste finiti,ebbero finito; furono finiti","finisca,finisca,finisca,finiamo,finiate,finiscano","abbia finito; sia finito,abbia finito; sia finito,abbia finito; sia finito,abbiamo finito; siamo finiti,abbiate finito; siate finiti,abbiano finito; siano finiti","finissi,finissi,finisse,finissimo,finiste,finissero","avessi finito; fossi finito,avessi finito; fossi finito,avesse finito; fosse finito,avessimo finito; fossimo finiti,aveste finito; foste finiti,avessero finito; fossero finiti","finirei,finiresti,finirebbe,finiremmo,finireste,finirebbero","avrei finito; sarei finito,avresti finito; saresti finito,avrebbe finito; sarebbe finito,avremmo finito; saremmo finiti,avreste finito; sareste finiti,avrebbero finito; sarebbero finiti","finisci,finisca,finiamo,finite,finiscano",
fuggire,"fuggire,fuggente,fuggendo,fuggito,avere fuggito; essere fuggito,avendo fuggito; essendo fuggito,avente fuggito; essente fuggito","fuggo,fuggi,fugge,fuggiamo,fuggite,fuggono","fuggivo,fuggivi,fuggiva,fuggivamo,fuggivate,fuggivano","fuggirò,fuggirai,fuggirà,fuggiremo,fuggirete,fuggiranno","fuggii,fuggisti,fuggì,fuggimmo,fuggiste,fuggirono","ho fuggito; sono fuggito,hai fuggito; sei fuggito,ha fuggito; è fuggito,abbiamo fuggito; siamo fuggiti,avete fuggito; siete fuggiti,hanno fuggito; sono fuggiti","avevo fuggito; ero fuggito,avevi fuggito; eri fuggito,aveva fuggito; era fuggito,avevamo fuggito; eravamo fuggiti,avevate fuggito; eravate fuggiti,avevano fuggito; erano fuggiti","avrò fuggito; sarò fuggito,avrai fuggito; sarai fuggito,avrà fuggito; sarà fuggito,avremo fuggito; saremo fuggiti,avrete fuggito; sarete fuggiti,avranno fuggito; saranno fuggiti","ebbi fuggito; fui fuggito,avesti fuggito; fosti fuggito,ebbe fuggito; fu fuggito,avemmo fuggito; fummo fuggiti,aveste fuggito; foste fuggiti,ebbero fuggito; furono fuggiti","fugga,fugga,fugga,fuggiamo,fuggiate,fuggano","abbia fuggito; sia fuggito,abbia fuggito; sia fuggito,abbia fuggito; sia fuggito,abbiamo fuggito; siamo fuggiti,abbiate fuggito; siate fuggiti,abbiano fuggito; siano fuggiti","fuggissi,fuggissi,fuggisse,fuggissimo,fuggiste,fuggissero","avessi fuggito; fossi fuggito,avessi fuggito; fossi fuggito,avesse fuggito; fosse fuggito,avessimo fuggito; fossimo fuggiti,aveste fuggito; foste fuggiti,avessero fuggito; fossero fuggiti","fuggirei,fuggiresti,fuggirebbe,fuggiremmo,fuggireste,fuggirebbero","avrei fuggito; sarei fuggito,avresti fuggito; saresti fuggito,avrebbe fuggito; sarebbe fuggito,avremmo fuggito; saremmo fuggiti,avreste fuggito; sareste fuggiti,avrebbero fuggito; sarebbero fuggiti","fuggi,fugga,fuggiamo,fuggite,fuggano",
giocare,"giocare,giocante,giocando,giocato,avere giocato,avendo giocato,avente giocato","gioco,giochi,gioca,giochiamo,giocate,giocano","giocavo,giocavi,giocava,giocavamo,giocavate,giocavano","giocherò,giocherai,giocherà,giocheremo,giocherete,giocheranno","giocai,giocasti,giocò,giocammo,giocaste,giocarono","ho giocato,hai giocato,ha giocato,abbiamo giocato,avete giocato,hanno giocato","avevo giocato,avevi giocato,aveva giocato,avevamo giocato,avevate giocato,avevano giocato","avrò giocato,avrai giocato,avrà giocato,avremo giocato,avrete giocato,avranno giocato","ebbi giocato,avesti giocato,ebbe giocato,avemmo giocato,aveste giocato,ebbero giocato","giochi,giochi,giochi,giochiamo,giochiate,giochino","abbia giocato,abbia giocato,abbia giocato,abbiamo giocato,abbiate giocato,abbiano giocato","giocassi,giocassi,giocasse,giocassimo,giocaste,giocassero","avessi giocato,avessi giocato,avesse giocato,avessimo giocato,aveste giocato,avessero giocato","giocherei,giocheresti,giocherebbe,giocheremmo,giochereste,giocherebbero","avrei giocato,avresti giocato,avrebbe giocato,avremmo giocato,avreste giocato,avrebbero giocato","gioca,giochi,giochiamo,giocate,giochino",
godere,"godere,godente; gaudente,godendo,goduto,avere goduto,avendo goduto,avente goduto","godo,godi,gode,godiamo,godete,godono","godevo,godevi,godeva,godevamo,godevate,godevano","godrò,godrai,godrà,godremo,godrete,godranno","godei; godetti,godesti,godé; godette,godemmo,godeste,goderono; godettero","ho goduto,hai goduto,ha goduto,abbiamo goduto,avete goduto,hanno goduto","avevo goduto,avevi goduto,aveva goduto,avevamo goduto,avevate goduto,avevano goduto","avrò goduto,avrai goduto,avrà goduto,avremo goduto,avrete goduto,avranno goduto","ebbi goduto,avesti goduto,ebbe goduto,avemmo goduto,aveste goduto,ebbero goduto","goda,goda,goda,godiamo,godiate,godano","abbia goduto,abbia goduto,abbia goduto,abbiamo goduto,abbiate goduto,abbiano goduto","godessi,godessi,godesse,godessimo,godeste,godessero","avessi goduto,avessi goduto,avesse goduto,avessimo goduto,aveste goduto,avessero goduto","goderei; godrei,goderesti; godresti,goderebbe; godrebbe,goderemmo; godremmo,godereste; godreste,goderebbero; godrebbero","avrei goduto,avresti goduto,avrebbe goduto,avremmo goduto,avreste goduto,avrebbero goduto","godi,goda,godiamo,godete,godano",
guardare,"guardare,guardante,guardando,guardato,avere guardato,avendo guardato,avente guardato","guardo,guardi,guarda,guardiamo,guardate,guardano","guardavo,guardavi,guardava,guardavamo,guardavate,guardavano","guarderò,guarderai,guarderà,guarderemo,guarderete,guarderanno","guardai,guardasti,guardò,guardammo,guardaste,guardarono","ho guardato,hai guardato,ha guardato,abbiamo guardato,avete guardato,hanno guardato","avevo guardato,avevi guardato,aveva guardato,avevamo guardato,avevate guardato,avevano guardato","avrò guardato,avrai guardato,avrà guardato,avremo guardato,avrete guardato,avranno guardato","ebbi guardato,avesti guardato,ebbe guardato,avemmo guardato,aveste guardato,ebbero guardato","guardi,guardi,guardi,guardiamo,guardiate,guardino","abbia guardato,abbia guardato,abbia guardato,abbiamo guardato,abbiate guardato,abbiano guardato","guardassi,guardassi,guardasse,guardassimo,guardaste,guardassero","avessi guardato,avessi guardato,avesse guardato,avessimo guardato,aveste guardato,avessero guardato","guarderei,guarderesti,guarderebbe,guarderemmo,guardereste,guarderebbero","avrei guardato,avresti guardato,avrebbe guardato,avremmo guardato,avreste guardato,avrebbero guardato","guarda,guardi,guardiamo,guardate,guardino",
imparare,"imparare,imparante,imparando,imparato,avere imparato,avendo imparato,avente imparato","imparo,impari,impara,impariamo,imparate,imparano","imparavo,imparavi,imparava,imparavamo,imparavate,imparavano","imparerò,imparerai,imparerà,impareremo,imparerete,impareranno","imparai,imparasti,imparò,imparammo,imparaste,impararono","ho imparato,hai imparato,ha imparato,abbiamo imparato,avete imparato,hanno imparato","avevo imparato,avevi imparato,aveva imparato,avevamo imparato,avevate imparato,avevano imparato","avrò imparato,avrai imparato,avrà imparato,avremo imparato,avrete imparato,avranno imparato","ebbi imparato,avesti imparato,ebbe imparato,avemmo imparato,aveste imparato,ebbero imparato","impari,impari,impari,impariamo,impariate,imparino","abbia imparato,abbia imparato,abbia imparato,abbiamo imparato,abbiate imparato,abbiano imparato","imparassi,imparassi,imparasse,imparassimo,imparaste,imparassero","avessi imparato,avessi imparato,avesse imparato,avessimo imparato,aveste imparato,avessero imparato","imparerei,impareresti,imparerebbe,impareremmo,imparereste,imparerebbero","avrei imparato,avresti imparato,avrebbe imparato,avremmo imparato,avreste imparato,avrebbero imparato","impara,impari,impariamo,imparate,imparino",
leggere,"leggere,leggente,leggendo,letto,avere letto,avendo letto,avente letto","leggo,leggi,legge,leggiamo,leggete,leggono","leggevo,leggevi,leggeva,leggevamo,leggevate,leggevano","leggerò,leggerai,leggerà,leggeremo,leggerete,leggeranno","lessi,leggesti,lesse,leggemmo,leggeste,lessero","ho letto,hai letto,ha letto,abbiamo letto,avete letto,hanno letto","avevo letto,avevi letto,aveva letto,avevamo letto,avevate letto,avevano letto","avrò letto,avrai letto,avrà letto,avremo letto,avrete letto,avranno letto","ebbi letto,avesti letto,ebbe letto,avemmo letto,aveste letto,ebbero letto","legga,legga,legga,leggiamo,leggiate,leggano","abbia letto,abbia letto,abbia letto,abbiamo letto,abbiate letto,abbiano letto","leggessi,leggessi,leggesse,leggessimo,leggeste,leggessero","avessi letto,avessi letto,avesse letto,avessimo letto,aveste letto,avessero letto","leggerei,leggeresti,leggerebbe,leggeremmo,leggereste,leggerebbero","avrei letto,avresti letto,avrebbe letto,avremmo letto,avreste letto,avrebbero letto","leggi,legga,leggiamo,leggete,leggano",
